Please enter a state followed by ENTER: 
1 			2 			3
2 			6 			3
3 			18 			3.22222
4 			58 			3.2069
5 			186 			3.23656
6 			602 			3.23256
7 			1946 			3.23638
8 			6298 			3.23563
9 			20378 			3.23614
10 			65946 			3.23601
11 			213402 			3.23608
12 			690586 			3.23606
13 			2.23478e+06 			3.23607
14 			7.2319e+06 			3.23607
15 			2.34029e+07 			3.23607
16 			7.57334e+07 			3.23607
17 			2.45078e+08 			3.23607
18 			7.9309e+08 			3.23607
19 			2.56649e+09 			3.23607
