Please enter a state followed by ENTER: 
1 			3 			5
2 			15 			5
3 			75 			5.24
4 			393 			5.36641
5 			2109 			5.44666
6 			11487 			5.51711
7 			63375 			5.56615
8 			352755 			5.60826
9 			1.97834e+06 			5.6417
10 			1.11612e+07 			5.67028
11 			6.32871e+07 			5.69441
12 			3.60382e+08 			5.7153
13 			2.05969e+09 			5.73346
